Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Jainam Ferro Alloys (I) Limited,JAINAM,Jainam Ferro Alloys (I) Limited,Active,,,,,,,,,
Nila Spaces Limited,NILASPACES,Nila Spaces Limited,Active,,,,,,,,,
Manaksia Aluminium Company Limited,MANAKALUCO,Manaksia Aluminium Company Limited,Active,,,,,,,,,
IVP Limited,IVP,IVP Limited,Active,,,,,,,,,
Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,,,,,,,,,
Essar Shipping Limited,ESSARSHPNG,Essar Shipping Limited,Active,,,,,,,,,
DCM  Limited,DCM,DCM  Limited,Active,,,,,,,,,
Indowind Energy Limited,INDOWIND,Indowind Energy Limited,Active,,,,,,,,,
Lagnam Spintex Limited,LAGNAM,Lagnam Spintex Limited,Active,,,,,,,,,
3selected Rock Multimedia Limited,3selectedROCK,3selected Rock Multimedia Limited,Active,,,,,,,,,
Emmbi Industries Limited,EMMBI,Emmbi Industries Limited,Active,,,,,,,,,
Ice Make Refrigeration Limited,ICEMAKE,Ice Make Refrigeration Limited,Active,,,,,,,,,
R.P.P. Infra Projects Limited,RPPINFRA,R.P.P. Infra Projects Limited,Active,,,,,,,,,
Coral India Finance & Housing Limited,CORALFINAC,Coral India Finance & Housing Limited,Active,,,,,,,,,
Shrenik Limited,SHRENIK,Shrenik Limited,Active,,,,,,,,,
Jullundur Motor Agency (Delhi) Limited,JMA,Jullundur Motor Agency (Delhi) Limited,Active,,,,,,,,,
Ballarpur Industries Limited,BALLARPUR,Ballarpur Industries Limited,Active,,,,,,,,,
The Byke Hospitality Ltd,BYKE,The Byke Hospitality Ltd,Active,,,,,,,,,
TRF Limited,TRF,TRF Limited,Active,,,,,,,,,
Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Limited,Active,,,,,,,,,
Bharat Gears Limited,BHARATGEAR,Bharat Gears Limited,Active,,,,,,,,,
Alpa Laboratories Limited,ALPA,Alpa Laboratories Limited,Active,,,,,,,,,
Palred Technologies Limited,PALREDTEC,Palred Technologies Limited,Active,,,,,,,,,
IL&FS Engineering and Construction Company Limited,IL&FSENGG,IL&FS Engineering and Construction Company Limited,Active,,,,,,,,,
Dev Information Technology Limited,DEVIT,Dev Information Technology Limited,Active,,,,,,,,,
Electrotherm (India) Limited,ELECTHERM,Electrotherm (India) Limited,Active,,,,,,,,,
Gillanders Arbuthnot & Company Limited,GILLANDERS,Gillanders Arbuthnot & Company Limited,Active,,,,,,,,,
Bhagyanagar India Limited,BHAGYANGR,Bhagyanagar India Limited,Active,,,,,,,,,
Spectrum Electrical Industries Limited,SPECTRUM,Spectrum Electrical Industries Limited,Active,,,,,,,,,
Damodar Industries Limited,DAMODARIND,Damodar Industries Limited,Active,,,,,,,,,
Surana Telecom and Power Limited,SURANAT&P,Surana Telecom and Power Limited,Active,,,,,,,,,
Murudeshwar Ceramics Limited,MURUDCERA,Murudeshwar Ceramics Limited,Active,,,,,,,,,
Noida Toll Bridge Company Limited,NOIDATOLL,Noida Toll Bridge Company Limited,Active,,,,,,,,,
Lokesh Machines Limited,LOKESHMACH,Lokesh Machines Limited,Active,,,,,,,,,
Poddar Housing and Development Limited,PODDARHOUS,Poddar Housing and Development Limited,Active,,,,,,,,,
Generic Engineering Construction and Projects Limited,GENCON,Generic Engineering Construction and Projects Limited,Active,,,,,,,,,
Shiv Aum Steels Limited,SHIVAUM,Shiv Aum Steels Limited,Active,,,,,,,,,
Aspinwall and Company Limited,ASPINWALL,Aspinwall and Company Limited,Active,,,,,,,,,
Umang Dairies Limited,UMANGDAIRY,Umang Dairies Limited,Active,,,,,,,,,
Sundaram Brake Linings Limited,SUNDRMBRAK,Sundaram Brake Linings Limited,Active,,,,,,,,,
Ravinder Heights Limited,RVHL,Ravinder Heights Limited,Active,,,,,,,,,
Globe Textiles (India) Limited,GLOBE,Globe Textiles (India) Limited,Active,,,,,,,,,
Ganges Securities Limited,GANGESSECU,Ganges Securities Limited,Active,,,,,,,,,
JHS Svendgaaselected Laboratories Limited,JHS,JHS Svendgaaselected Laboratories Limited,Active,,,,,,,,,
Pritika Auto Industries Limited,PRITIKAUTO,Pritika Auto Industries Limited,Active,,,,,,,,,
Zodiac Energy Limited,ZODIAC,Zodiac Energy Limited,Active,,,,,,,,,
Suryalakshmi Cotton Mills Limited,SURYALAXMI,Suryalakshmi Cotton Mills Limited,Active,,,,,,,,,
Maha Rashtra Apex Corporation Limited,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Active,,,,,,,,,
Indosolar Limited,INDOSOLAR,Indosolar Limited,Active,,,,,,,,,
Ahlada Engineers Limited,AHLADA,Ahlada Engineers Limited,Active,,,,,,,,,
Naga Dhunseri Group Limited,NDGL,Naga Dhunseri Group Limited,Active,,,,,,,,,
Sarthak Metals Limited,SMLT,Sarthak Metals Limited,Active,,,,,,,,,
Mahalaxmi Rubtech Limited,MHLXMIRU,Mahalaxmi Rubtech Limited,Active,,,,,,,,,
Megastar Foods Limited,MEGASTAR,Megastar Foods Limited,Active,,,,,,,,,
Amj Land Holdings Limited,AMJLAND,Amj Land Holdings Limited,Active,,,,,,,,,
Pioneer Embroideries Limited,PIONEEREMB,Pioneer Embroideries Limited,Active,,,,,,,,,
Ankit Metal & Power Limited,ANKITMETAL,Ankit Metal & Power Limited,Active,,,,,,,,,
Arvee Laboratories (India) Limited,ARVEE,Arvee Laboratories (India) Limited,Active,,,,,,,,,
Cambridge Technology Enterprises Limited,CTE,Cambridge Technology Enterprises Limited,Active,,,,,,,,,
MITCON Consultancy,MITCON,MITCON Consultancy,Active,,,,,,,,,
Country Club Hospitality & Holidays Limited,CCHHL,Country Club Hospitality & Holidays Limited,Active,,,,,,,,,
Vivimed Labs Limited,VIVIMEDLAB,Vivimed Labs Limited,Active,,,,,,,,,
PVP Ventures Limited,PVP,PVP Ventures Limited,Active,,,,,,,,,
Niraj Cement Structurals Limited,NIRAJ,Niraj Cement Structurals Limited,Active,,,,,,,,,
Vaxtex Cotfab Limited,VCL,Vaxtex Cotfab Limited,Active,,,,,,,,,
United Polyfab Gujarat Limited,UNITEDPOLY,United Polyfab Gujarat Limited,Active,,,,,,,,,
DUDIGITAL GLOBAL LIMITED,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,Active,,,,,,,,,
TCI Developers Limited,TCIDEVELOP,TCI Developers Limited,Active,,,,,,,,,
The Grob Tea Company Limited,GROBTEA,The Grob Tea Company Limited,Active,,,,,,,,,
SBC Exports Limited,SBC,SBC Exports Limited,Active,,,,,,,,,
Salona Cotspin Limited,SALONA,Salona Cotspin Limited,Active,,,,,,,,,
Imagicaaworld Entertainment Limited,IMAGICAA,Imagicaaworld Entertainment Limited,Active,,,,,,,,,
RKEC Projects Limited,RKEC,RKEC Projects Limited,Active,,,,,,,,,
BLB Limited,BLBLIMITED,BLB Limited,Active,,,,,,,,,
BSL Limited,BSL,BSL Limited,Active,,,,,,,,,
Prajay Engineers Syndicate Limited,PRAENG,Prajay Engineers Syndicate Limited,Active,,,,,,,,,
Aaron Industries Limited,AARON,Aaron Industries Limited,Active,,,,,,,,,
Smartlink Holdings Limited,SMARTLINK,Smartlink Holdings Limited,Active,,,,,,,,,
DRS Dilip Roadlines Limited,DRSDILIP,DRS Dilip Roadlines Limited,Active,,,,,,,,,
Signet Industries Limited,SIGIND,Signet Industries Limited,Active,,,,,,,,,
IZMO Limited,IZMO,IZMO Limited,Active,,,,,,,,,
Fiberweb (India) Limited,FIBERWEB,Fiberweb (India) Limited,Active,,,,,,,,,
Lotus Eye Hospital and Institute Limited,LOTUSEYE,Lotus Eye Hospital and Institute Limited,Active,,,,,,,,,
Palash Securities Limited,PALASHSECU,Palash Securities Limited,Active,,,,,,,,,
B.A.G Films and Media Limited,BAGFILMS,B.A.G Films and Media Limited,Active,,,,,,,,,
Rajshree Sugars & Chemicals Limited,RAJSREESUG,Rajshree Sugars & Chemicals Limited,Active,,,,,,,,,
Bhandari Hosiery Exports Limited,BHANDARI,Bhandari Hosiery Exports Limited,Active,,,,,,,,,
JBF Industries Limited,JBFIND,JBF Industries Limited,Active,,,,,,,,,
Vertoz Advertising Limited,VERTOZ,Vertoz Advertising Limited,Active,,,,,,,,,
Akash Infra-Projects Limited,AKASH,Akash Infra-Projects Limited,Active,,,,,,,,,
Sarveshwar Foods Limited,SARVESHWAR,Sarveshwar Foods Limited,Active,,,,,,,,,
Mukta Arts Limited,MUKTAARTS,Mukta Arts Limited,Active,,,,,,,,,
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Active,,,,,,,,,
ABM International Limited,ABMINTLLTD,ABM International Limited,Active,,,,,,,,,
Tirupati Forge Limited,TIRUPATIFL,Tirupati Forge Limited,Active,,,,,,,,,
Kapston Services Limited,KAPSTON,Kapston Services Limited,Active,,,,,,,,,
Surana Solar Limited,SURANASOL,Surana Solar Limited,Active,,,,,,,,,
Softtech Engineers Limited,SOFTTECH,Softtech Engineers Limited,Active,,,,,,,,,
Remsons Industries Limited,REMSONSIND,Remsons Industries Limited,Active,,,,,,,,,
Bhagyanagar Properties Limited,BHAGYAPROP,Bhagyanagar Properties Limited,Active,,,,,,,,,
Mahamaya Steel Industries Limited,MAHASTEEL,Mahamaya Steel Industries Limited,Active,,,,,,,,,
The Motor & General Finance Limited,MOTOGENFIN,The Motor & General Finance Limited,Active,,,,,,,,,
Airo Lam limited,AIROLAM,Airo Lam limited,Active,,,,,,,,,
TIL Limited,TIL,TIL Limited,Active,,,,,,,,,
Salasar Exteriors and Contour Limited,SECL,Salasar Exteriors and Contour Limited,Active,,,,,,,,,
Total Transport Systems Limited,TOTAL,Total Transport Systems Limited,Active,,,,,,,,,
Foce India Limited,FOCE,Foce India Limited,Active,,,,,,,,,
Energy Development Company Limited,ENERGYDEV,Energy Development Company Limited,Active,,,,,,,,,
AVG Logistics Limited,AVG,AVG Logistics Limited,Active,,,,,,,,,
Parin Furniture Limited,PARIN,Parin Furniture Limited,Active,,,,,,,,,
Touchwood Entertainment Limited,TOUCHWOOD,Touchwood Entertainment Limited,Active,,,,,,,,,
Raj Oil Mills Limited,ROML,Raj Oil Mills Limited,Active,,,,,,,,,
